"Time [h]","Measurement [mg/l]"
0.9236,0.4037
2.1059,0.9558001
4.0271,1.0039
5.2463,0.999
6.3916,1.0874
8.3498,1.0906
11.4901,0.9331
24.4212,1.023
28.9286,0.9359
32.1429,0.9174
34.9138,0.8012
48.3621,0.5048
