"Time [h]","Measurement [mg/l]"
0.6281,1.5557
1.2562,1.3721
2.5493,1.0297
3.9163,0.8454
5.1724,0.7592
7.7217,0.6546
11.601,0.5674
24.3842,0.3259
33.4729,0.2339
35.9483,0.2106
48.2143,0.1327
