"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Griseofulvin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,12.2399845
0,6,15.888412
0,9,10.071981
0,12,7.3033886
0,15,5.8948407
0,18,5.039655
0,21,4.443556
0,24,3.9946432
0,27,3.6440017
0,30,3.3652148
0,33,3.141681
0,36,2.9612942
0,39,2.8149624
0,42,2.6955945
0,45,2.59762
0,48,2.5167086
0,51,2.449434
0,54,2.3930662
0,57,2.3454342
0,60,2.3048236
0,63,2.2698796
0,66,2.23952
0,69,2.2128742
0,72,2.1892436
0,75,2.1680708
0,78,2.1489103
0,81,2.1314018
0,84,2.1152546
0,87,2.1002347
0,90,2.086154
0,93,2.0728595
0,96,2.0602279
0,99,2.0481591
0,102,2.036571
0,105,2.0253963
0,108,2.0145817
0,111,2.00408
0,114,1.9938562
0,117,1.9838798
0,120,1.9741267
0,135,1.9281036
0,150,1.8856361
0,165,1.8459431
0,180,1.8086108
0,195,1.7733402
0,210,1.7399069
0,225,1.7081273
0,240,1.6778382
0,255,1.6488948
0,270,1.6211709
0,285,1.5945559
0,300,1.5689528
0,315,1.544274
0,330,1.5204422
0,345,1.4973884
0,360,1.4750501
0,375,1.453372
0,390,1.4323046
0,405,1.4118031
0,420,1.3918294
0,435,1.3723459
0,450,1.3533244
0,465,1.3347331
0,480,1.3165494
0,495,1.2987475
0,510,1.281308
0,525,1.264211
0,540,1.2474395
0,555,1.2309775
0,570,1.2148106
0,585,1.1989262
0,600,1.1833119
0,615,1.1679577
0,630,1.1528528
0,645,1.1379887
0,660,1.1233562
0,675,1.108948
0,690,1.0947576
0,705,1.0807781
0,720,1.0670023
0,735,1.0534259
0,750,1.0400444
0,765,1.0268518
0,780,1.0138434
0,795,1.0010155
0,810,0.9883646
0,825,0.9758858
0,840,0.96357596
0,855,0.9514312
0,870,0.93944836
0,885,0.9276247
0,900,0.9159567
0,915,0.9044412
0,930,0.8930759
0,945,0.88185835
0,960,0.8707859
0,975,0.85985607
0,990,0.8490668
0,1005,0.8384159
0,1020,0.82790136
0,1035,0.8175211
0,1050,0.8072731
0,1065,0.7971555
0,1080,0.7871664
0,1095,0.77730405
0,1110,0.7675667
0,1125,0.75795233
0,1140,0.7484594
0,1155,0.7390861
0,1170,0.729831
0,1185,0.72069234
0,1200,0.7116685
0,1215,0.70275795
0,1230,0.69395936
0,1245,0.6852712
0,1260,0.676692
0,1275,0.6682204
0,1290,0.65985495
0,1305,0.6515944
0,1320,0.6434374
0,1335,0.6353826
0,1350,0.62742865
0,1365,0.61957437
0,1380,0.6118184
0,1395,0.60415953
0,1410,0.5965965
0,1425,0.5891281
0,1440,0.5817531
0,1455,0.5744703
0,1470,0.5672786
0,1485,0.56017685
0,1500,0.5531639
0,1515,0.5462386
0,1530,0.5393999
0,1545,0.5326468
0,1560,0.52597815
0,1575,0.5193929
0,1590,0.51289
0,1605,0.5064685
0,1620,0.50012726
0,1635,0.49386543
0,1650,0.4876819
0,1665,0.48157573
0,1680,0.47554594
0,1695,0.4695916
0,1710,0.46371174
0,1725,0.45790544
0,1740,0.45217177
0,1755,0.44650984
0,1770,0.4409187
0,1785,0.4353976
0,1800,0.42994556
0,1815,0.42456174
0,1830,0.4192453
0,1845,0.41399541
0,1860,0.40881127
0,1875,0.403692
0,1890,0.39863685
0,1905,0.39364496
0,1920,0.38871557
0,1935,0.38384792
0,1950,0.37904122
0,1965,0.3742947
0,1980,0.36960763
0,1995,0.36497924
0,2010,0.3604088
0,2025,0.3558956
0,2040,0.35143894
0,2055,0.3470381
0,2070,0.34269235
0,2085,0.33840105
0,2100,0.33416352
0,2115,0.32997906
0,2130,0.32584703
0,2145,0.32176676
0,2160,0.31773764
0,2175,0.31375897
0,2190,0.30983016
0,2205,0.30595058
0,2220,0.3021196
0,2235,0.29833665
0,2250,0.2946011
0,2265,0.29091236
0,2280,0.28726986
0,2295,0.283673
0,2310,0.2801212
0,2325,0.27661392
0,2340,0.27315062
0,2355,0.26973072
0,2370,0.26635367
0,2385,0.26301894
0,2400,0.25972602
0,2415,0.2564744
0,2430,0.2532635
0,2445,0.2500929
0,2460,0.24696201
0,2475,0.24387038
0,2490,0.2408175
0,2505,0.23780291
0,2520,0.2348261
0,2535,0.23188661
0,2550,0.22898397
0,2565,0.22611773
0,2580,0.22328743
0,2595,0.2204926
0,2610,0.21773282
0,2625,0.21500765
0,2640,0.21231663
0,2655,0.20965937
0,2670,0.20703542
0,2685,0.20444438
0,2700,0.20188582
0,2715,0.19935934
0,2730,0.19686455
0,2745,0.19440104
0,2760,0.19196841
0,2775,0.1895663
0,2790,0.1871943
0,2805,0.18485205
0,2820,0.18253918
0,2835,0.18025531
0,2850,0.17800006
0,2865,0.17577311
0,2880,0.17357409
