"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Griseofulvin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,14.246583
0,6,18.49339
0,9,11.72365
0,12,8.501398
0,15,6.8621945
0,18,5.8670597
0,21,5.1734524
0,24,4.6511283
0,27,4.2431593
0,30,3.9188046
0,33,3.6587453
0,36,3.4488935
0,39,3.2786696
0,42,3.1398213
0,45,3.0258656
0,48,2.9317641
0,51,2.8535295
0,54,2.7879846
0,57,2.7326035
0,60,2.6853912
0,63,2.644771
0,66,2.609484
0,69,2.578517
0,72,2.5510569
0,75,2.5264556
0,78,2.5041943
0,81,2.483854
0,84,2.4650965
0,87,2.4476495
0,90,2.431294
0,93,2.4158523
0,96,2.4011807
0,99,2.3871632
0,102,2.3737037
0,105,2.3607242
0,108,2.348163
0,111,2.3359647
0,114,2.3240888
0,117,2.3125
0,120,2.3011699
0,135,2.247698
0,150,2.1983433
0,165,2.1521993
0,180,2.108786
0,195,2.0677574
0,210,2.0288537
0,225,1.9918627
0,240,1.9565958
0,255,1.9228855
0,270,1.8905863
0,285,1.8595704
0,300,1.8297257
0,315,1.8009511
0,330,1.7731576
0,345,1.7462653
0,360,1.7202022
0,375,1.6949046
0,390,1.6703151
0,405,1.6463823
0,420,1.623062
0,435,1.6003113
0,450,1.5780972
0,465,1.556383
0,480,1.535143
0,495,1.514347
0,510,1.493973
0,525,1.4739978
0,540,1.4544016
0,555,1.4351664
0,570,1.4162751
0,585,1.3977135
0,600,1.379467
0,615,1.361524
0,630,1.3438722
0,645,1.3265018
0,660,1.309402
0,675,1.2925644
0,690,1.2759813
0,705,1.2596449
0,720,1.2435467
0,735,1.2276819
0,750,1.2120452
0,765,1.1966293
0,780,1.1814291
0,795,1.1664404
0,810,1.1516585
0,825,1.1370785
0,840,1.1226962
0,855,1.1085072
0,870,1.0945077
0,885,1.0806947
0,900,1.067064
0,915,1.053612
0,930,1.0403359
0,945,1.0272329
0,960,1.0142998
0,975,1.0015336
0,990,0.98893225
0,1005,0.9764929
0,1020,0.9642132
0,1035,0.9520908
0,1050,0.94012326
0,1065,0.9283085
0,1080,0.9166442
0,1095,0.9051284
0,1110,0.89375883
0,1125,0.8825335
0,1140,0.8714502
0,1155,0.86050695
0,1170,0.8497022
0,1185,0.8390337
0,1200,0.82849973
0,1215,0.81809837
0,1230,0.807828
0,1245,0.79768693
0,1260,0.7876735
0,1275,0.7777859
0,1290,0.7680226
0,1305,0.7583821
0,1320,0.74886274
0,1335,0.73946303
0,1350,0.73018134
0,1365,0.7210163
0,1380,0.7119662
0,1395,0.7030298
0,1410,0.6942056
0,1425,0.68549204
0,1440,0.67688775
0,1455,0.66839135
0,1470,0.6600016
0,1485,0.65171695
0,1500,0.6435362
0,1515,0.63545805
0,1530,0.6274812
0,1545,0.6196044
0,1560,0.61182636
0,1575,0.60414594
0,1590,0.5965618
0,1605,0.5890728
0,1620,0.5816778
0,1635,0.5743755
0,1650,0.56716484
0,1665,0.56004465
0,1680,0.55301374
0,1695,0.54607105
0,1710,0.5392154
0,1725,0.5324458
0,1740,0.52576107
0,1755,0.5191602
0,1770,0.5126422
0,1785,0.5062059
0,1800,0.49985045
0,1815,0.4935747
0,1830,0.4873777
0,1845,0.4812585
0,1860,0.4752161
0,1875,0.46924955
0,1890,0.4633579
0,1905,0.4575402
0,1920,0.45179555
0,1935,0.44612303
0,1950,0.44052172
0,1965,0.43499073
0,1980,0.4295292
0,1995,0.4241362
0,2010,0.41881096
0,2025,0.41355255
0,2040,0.4083602
0,2055,0.40323305
0,2070,0.3981703
0,2085,0.39317113
0,2100,0.38823473
0,2115,0.38336036
0,2130,0.3785472
0,2145,0.37379453
0,2160,0.36910152
0,2175,0.3644675
0,2190,0.35989168
0,2205,0.35537335
0,2220,0.3509118
0,2235,0.3465063
0,2250,0.34215617
0,2265,0.33786067
0,2280,0.33361915
0,2295,0.32943094
0,2310,0.32529536
0,2325,0.32121173
0,2340,0.31717944
0,2355,0.3131978
0,2370,0.3092662
0,2385,0.305384
0,2400,0.30155063
0,2415,0.2977654
0,2430,0.29402778
0,2445,0.29033712
0,2460,0.28669286
0,2475,0.28309438
0,2490,0.27954113
0,2505,0.27603257
0,2520,0.2725681
0,2535,0.2691472
0,2550,0.26576927
0,2565,0.26243383
0,2580,0.25914028
0,2595,0.25588816
0,2610,0.25267693
0,2625,0.24950606
0,2640,0.24637505
0,2655,0.2432834
0,2670,0.24023062
0,2685,0.23721622
0,2700,0.23423973
0,2715,0.23130064
0,2730,0.22839852
0,2745,0.22553287
0,2760,0.22270326
0,2775,0.21990922
0,2790,0.21715032
0,2805,0.2144261
0,2820,0.21173613
0,2835,0.20907998
0,2850,0.20645724
0,2865,0.20386747
0,2880,0.20131026
