"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Griseofulvin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,9.932513
0,6,12.893279
0,9,8.173529
0,12,5.92703
0,15,4.784206
0,18,4.090415
0,21,3.6068435
0,24,3.242688
0,27,2.9582589
0,30,2.7321243
0,33,2.5508153
0,36,2.4045103
0,39,2.2858331
0,42,2.1890302
0,45,2.1095824
0,48,2.0439763
0,51,1.9894326
0,54,1.9437357
0,57,1.9051251
0,60,1.8722094
0,63,1.8438897
0,66,1.8192883
0,69,1.7976984
0,72,1.7785537
0,75,1.7614021
0,78,1.7458819
0,81,1.731701
0,84,1.7186236
0,87,1.7064599
0,90,1.695057
0,93,1.6842915
0,96,1.6740627
0,99,1.6642897
0,102,1.6549062
0,105,1.6458571
0,108,1.6370995
0,111,1.6285951
0,114,1.6203154
0,117,1.6122359
0,120,1.6043367
0,135,1.567057
0,150,1.5326478
0,165,1.5004771
0,180,1.4702101
0,195,1.4416056
0,210,1.4144825
0,225,1.388693
0,240,1.3641055
0,255,1.3406032
0,270,1.3180848
0,285,1.2964611
0,300,1.2756538
0,315,1.2555927
0,330,1.2362155
0,345,1.2174666
0,360,1.1992959
0,375,1.1816587
0,390,1.1645155
0,405,1.1478299
0,420,1.1315714
0,435,1.11571
0,450,1.1002227
0,465,1.085084
0,480,1.0702758
0,495,1.0557772
0,510,1.0415727
0,525,1.0276463
0,540,1.0139842
0,555,1.0005738
0,570,0.9874031
0,585,0.9744622
0,600,0.9617411
0,615,0.9492315
0,630,0.936925
0,645,0.9248147
0,660,0.912893
0,675,0.90115404
0,690,0.8895926
0,705,0.87820315
0,720,0.8669798
0,735,0.85591906
0,750,0.8450174
0,765,0.83426976
0,780,0.8236724
0,795,0.81322247
0,810,0.8029169
0,825,0.7927519
0,840,0.78272474
0,855,0.77283245
0,870,0.76307225
0,885,0.75344205
0,900,0.743939
0,915,0.7345605
0,930,0.7253046
0,945,0.71616936
0,960,0.7071526
0,975,0.6982523
0,990,0.68946683
0,1005,0.6807943
0,1020,0.6722331
0,1035,0.6637816
0,1050,0.65543807
0,1065,0.647201
0,1080,0.63906884
0,1095,0.6310402
0,1110,0.6231136
0,1125,0.6152874
0,1140,0.60756034
0,1155,0.5999309
0,1170,0.592398
0,1185,0.58496016
0,1200,0.577616
0,1215,0.57036436
0,1230,0.56320405
0,1245,0.55613387
0,1260,0.5491526
0,1275,0.5422592
0,1290,0.5354524
0,1305,0.52873117
0,1320,0.5220944
0,1335,0.51554114
0,1350,0.5090701
0,1365,0.50268036
0,1380,0.49637082
0,1395,0.4901405
0,1410,0.48398837
0,1425,0.47791344
0,1440,0.4719147
0,1455,0.46599117
0,1470,0.46014193
0,1485,0.45436606
0,1500,0.44866258
0,1515,0.44303063
0,1530,0.4374693
0,1545,0.43197772
0,1560,0.426555
0,1575,0.42120034
0,1590,0.4159128
0,1605,0.41069162
0,1620,0.4055359
0,1635,0.4004449
0,1650,0.39541775
0,1665,0.39045367
0,1680,0.38555184
0,1695,0.3807115
0,1710,0.37593186
0,1725,0.3712122
0,1740,0.36655176
0,1755,0.36194974
0,1770,0.35740548
0,1785,0.3529182
0,1800,0.3484873
0,1815,0.34411195
0,1830,0.3397915
0,1845,0.3355253
0,1860,0.33131263
0,1875,0.32715285
0,1890,0.3230453
0,1905,0.3189893
0,1920,0.31498423
0,1935,0.31102943
0,1950,0.3071243
0,1965,0.3032682
0,1980,0.29946047
0,1995,0.29570058
0,2010,0.29198793
0,2025,0.28832185
0,2040,0.28470182
0,2055,0.28112727
0,2070,0.2775976
0,2085,0.27411225
0,2100,0.27067068
0,2115,0.26727235
0,2130,0.2639167
0,2145,0.26060322
0,2160,0.25733134
0,2175,0.2541006
0,2190,0.2509104
0,2205,0.2477603
0,2220,0.24464978
0,2235,0.24157834
0,2250,0.23854549
0,2265,0.23555075
0,2280,0.23259364
0,2295,0.22967368
0,2310,0.22679043
0,2325,0.2239434
0,2340,0.22113213
0,2355,0.2183562
0,2370,0.21561517
0,2385,0.21290858
0,2400,0.210236
0,2415,0.20759702
0,2430,0.20499119
0,2445,0.20241813
0,2460,0.19987741
0,2475,0.19736862
0,2490,0.19489136
0,2505,0.19244525
0,2520,0.19002987
0,2535,0.18764487
0,2550,0.18528984
0,2565,0.18296443
0,2580,0.18066823
0,2595,0.1784009
0,2610,0.17616208
0,2625,0.1739514
0,2640,0.17176852
0,2655,0.16961308
0,2670,0.16748473
0,2685,0.16538315
0,2700,0.16330798
0,2715,0.16125889
0,2730,0.15923558
0,2745,0.15723771
0,2760,0.15526494
0,2775,0.15331699
0,2790,0.15139353
0,2805,0.14949425
0,2820,0.14761885
0,2835,0.14576703
0,2850,0.1439385
0,2865,0.14213295
0,2880,0.1403501
